Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
Apple 16GB iPod Nano with 2.5-inch Display (Blue),,APPLEIPOD,Audio,,"New 2.5-inch widescreen Multi-Touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-Pin Adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported Bluetooth headphones, speakers, and vehicles New Apple EarPods",BIZID005
Apple 16GB iPod Nano with 2.5-inch Display (Green),,APPLEIPOD,Audio,,"New 2.5-inch widescreen Multi-Touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-Pin Adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported Bluetooth headphones, speakers, and vehicles New Apple EarPods",BIZID006
Apple 16GB iPod Nano with 2.5-inch Display (Pink),,APPLEIPOD,Audio,,"New 2.5-inch widescreen Multi-Touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-Pin Adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported Bluetooth headphones, speakers, and vehicles New Apple EarPods",BIZID007
Apple 16GB iPod Nano with 2.5-inch Display (Purple),,APPLEIPOD,Audio,,"New 2.5-inch widescreen multi-touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-pin adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported bluetooth headphones, speakers, and vehicles new Apple EarPods",BIZID001
Apple 16GB iPod Nano with 2.5-inch Display (Silver),,APPLEIPOD,Audio,,"New 2.5-inch widescreen Multi-Touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-Pin Adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported Bluetooth headphones, speakers, and vehicles New Apple EarPods",BIZID002
Apple 16GB iPod Nano with 2.5-inch Display (Yellow),,APPLEIPOD,Audio,,"New 2.5-inch widescreen Multi-Touch display lets you see more of your music and album art looks great on the bigger screenConvenient built-in buttons for quick and easy access to play, pause, next and previous tracks, as well as volume controlLightning to 30-Pin Adapter is available for existing accessories FM radio, video, and photosWidescreen video supports your favorite music videos, podcasts, movies, or TV showsBuilt-in Bluetooth 4.0 allows wireless music listening by pairing with supported Bluetooth headphones, speakers, and vehicles New Apple EarPods",BIZID003
Apple 16GB iPod Touch (Black),,APPLEIPOD,Audio,,"3.5-inch diagonal widescreen multi-touch displayUp to 40 hours of music playback when fully chargedUp to 8 hours of video playback when fully chargedAAC, MP3, AIFF and WAV playbackBox contents - iPod touch, Earphones, Dock connector to USB cable and Quick start guide",BIZID004
Apple 16GB iPod Touch (White),,APPLEIPOD,Audio,,"Ultra-thin design - 0.28 inches (7.2 millimeters) thin and stainless steel enclosureiMessage - send free, unlimited text, photo and video messages over Wi-Fi to any other iOS 5 deviceFaceTime - video calls to other iOS devices and Macs over Wi-FiHD video recording - built-in omnidirectional mic, edit with the iMovie app (optional), share video through YouTube, iMessage or emailBox contents - iPod touch, Apple earphones, USB cable and Quick start guide",BIZID005
Apple 16GB iPod Touch with 3.5-inch Display (Black),,APPLEIPOD,Audio,,"Face timeRetina displayHD video recordingiMessage lets you send unlimited text messages from your iPod touch to an iPhone, iPad, or another iPod touch free over Wi-FiThe A4 processor helps give you even more amazing gamingWith iPod touch, you don't just play your music. You hear it, and see it, in entirely different ways",BIZID006
Apple 2GB iPod Shuffle (Blue),,APPLEIPOD,Audio,,BFR-free and PVC freeRecyclable aluminium enclosure,BIZID007
