Product Name,Product ID,Prod ID Code,Category Level 2,Price,Product Description,Store IDs
Alcatel One Touch Idol Ultra 6033x,,,Home Appliance,,"8MP primary camera with digital zoom, LED flash, video capture and 1.3MP front facing camera4.65-inch HD Capacitive touchscreen with 1280 x 720 pixels resolutionAndroid v4.1 Jelly Bean operating system with 1.2GHz dual core processor, 1GB RAM and 16GB internal memory1820 mAH battery providing talk-time of 16 hours on 2G and 8.5 hours on 3G netwoks, standby time of 700 hours on 2G and 400 hours on 3G networks1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase",BIZID026
Alcatel One Touch OT217D (Black),,,Home Appliance,,In-built FM radio1.45-inch TFT screen with 128x128 pixels resolution and 65K color displayIn-built torch light and dual SIMTalk time of 5 hours on 2G network and standby time of 6 hours 20 minutes on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID005
Alcatel One Touch OT217D (Deep Red),,,Home Appliance,,In-built FM radio1.45-inch TFT screen with 128x128 pixels resolution and 65K color displayIn-built torch light and dual SIMTalk time of 5 hours on 2G network and standby time of 6 hours 20 minutes on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID006
Alcatel One Touch OT318D (Black),,,Home Appliance,,VGA primary camera1.8-inch TFT screen with 128x160 pixels resolution and 252K color displayMemory expandable up to 2GB and dual SIMTalk-time of 5 hours on 2G network and standby time of 400 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID007
Alcatel One Touch OT318D (Deep Red),,,Home Appliance,,VGA primary camera1.8-inch TFT screen with 128x160 pixels resolution and 252K color displayMemory expandable up to 2GB and dual SIMTalk-time of 5 hours on 2G network and standby time of 400 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID001
Alcatel One Touch OT506D (Black),,,Home Appliance,,2MP primary camera1.77-inch TFT screen with 128x160 pixels resolution and 65K color displayMemory expandable up to 8GB and dual SIMTalk-time of 6 hours on 2G network and standby time of 650 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID002
Alcatel One Touch OT506D (Spicy Red),,,Home Appliance,,2MP primary camera1.77-inch TFT screen with 128x160 pixels resolution and 65K color displayMemory expandable up to 8GB and dual SIMTalk-time of 6 hours on 2G network and standby time of 650 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID003
Alcatel One Touch OT585D (Bluish Black),,,Home Appliance,,"2MP primary camera2-inch screen with 226x170 pixels resolution, 262K color landscape display and QWERTY keypadMemory expandable up to 16GB and dual SIMtalk-time of 5 hours 15 minutes and standby time of 425 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID004
Alcatel One Touch OT585D (Mystry Pink),,,Home Appliance,,"2MP primary camera2-inch screen with 226x170 pixels resolution, 262K color landscape display and QWERTY keypadMemory expandable up to 16GB and dual SIMTalk-time of 5 hours 15 minutes 2G network and standby time of 425 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID005
Alcatel One Touch OT585D (Steel Grey),,,Home Appliance,,"2MP primary camera2-inch screen with 226x170 pixels resolution, 262K color landscape display and QWERTY keypadMemory expandable up to 16GB and dual SIMTalk-time of 5 hours 15 minutes 2G network and standby time of 425 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID007
Alcatel One Touch OT595D (Cherry Red),,,Home Appliance,,"2MP primary camera2.0-inch TFT screen with 220 x170 pixels resolution, 256K color display and QWERTY keypad slide phoneMemory expandable upto 8GB850mAH battery providing talktime of 7 hours 20 minutes and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID025
Alcatel One Touch OT595D (Fuchsia),,,Home Appliance,,"2MP primary camera2.0-inch TFT screen with 220 x170 pixels resolution, 256K color display and QWERTY keypad slide phoneMemory expandable upto 8GB850mAH battery providing talktime of 7 hours 20 minutes and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID026
Alcatel One Touch OT595D (Turquoise),,,Home Appliance,,"2MP primary camera2.0-inch TFT screen with 220 x170 pixels resolution, 256K color display and QWERTY keypad slide phoneMemory expandable upto 8GB850mAH battery providing talktime of 7 hours 20 minutes and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID025
Alcatel One Touch OT602D (Cyber Blue),,,Home Appliance,,2MP primary camera2.4-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color landscape display104MHz processor with memory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 7 hours on 2G network and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID026
Alcatel One Touch OT602D (Fuchsia),,,Home Appliance,,2MP primary camera2.4-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color landscape display104MHz processor with memory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 7 hours on 2G network and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID005
Alcatel One Touch OT602D (Orange),,,Home Appliance,,2MP primary camera2.4-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color landscape display104MHz processor with memory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 7 hours on 2G network and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID006
Alcatel One Touch OT602D (Titanium Grey),,,Home Appliance,,2MP primary camera2.4-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color landscape display104MHz processor with memory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 7 hours on 2G network and standby time of 560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID007
Alcatel One Touch OT605D (Cherry Red),,,Home Appliance,,VGA primary camera2.4-inch resistive touchscreen with 240x320 pixels resolution and 256K color diaplay104MHz processor with memory expandable up to 8GB and dual SIMTalk-time of 7 hours 20 minutes on 2G network and standby time of  560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID001
Alcatel One Touch OT605D (Raven),,,Home Appliance,,VGA primary camera2.4-inch resistive touchscreen with 240x320 pixels resolution and 256K color diaplay104MHz processor with memory expandable up to 8GB and dual SIMTalk-time of 7 hours 20 minutes on 2G network and standby time of  560 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID002
Alcatel One Touch OT720D (Black),,,Home Appliance,,2MP primary camera2.8-inch TFT touchscreen with 240x320 pixels resolution and 262K color diaplayMemory expandable up to 8GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 540 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID007
Alcatel One Touch OT720D (Coralline),,,Home Appliance,,2MP primary camera2.8-inch TFT touchscreen with 240x320 pixels resolution and 262K color diaplayMemory expandable up to 8GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 540 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID025
Alcatel One Touch OT720D (Lilac ),,,Home Appliance,,2MP primary camera2.8-inch TFT touchscreen with 240x320 pixels resolution and 262K color diaplayMemory expandable up to 8GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 540 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID026
Alcatel One Touch OT720D (Ocean Blue),,,Home Appliance,,2MP primary camera2.8-inch TFT touchscreen with 240x320 pixels resolution and 262K color diaplayMemory expandable up to 8GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 540 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID025
Alcatel One Touch OT810D (Victorian Blush),,,Home Appliance,,"2MP primary camera2.4-inch screen with 320x240 pixels resolution, QWERTY keypad flip phone208MHz processor  phone with memory expandable up to 16GB and dual SIM850mAH battery providing talk-time of 10 hours on 2G network and standby time of 600 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID026
Alcatel One Touch OT890D (Fuchsia),,,Home Appliance,,2MP primary camera2.8-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color portait displayGoogle Android Froyo 2.2 operating system with 420MHz processor with memory expandable up to 16GB and dual SIM1000mAH battery providing talk-time of 6 hours and standby time of 400 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID005
Alcatel One Touch OT890D (Orange),,,Home Appliance,,2MP primary camera2.8-inch TFT resistive touchscreen with 240x320 pixels resolution and 262K color portait displayGoogle Android Froyo 2.2 operating system with 420MHz processor with memory expandable up to 16GB and dual SIM1000mAH battery providing talk-time of 6 hours and standby time of 400 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID006
Alcatel One Touch OT903D (Cherry Red),,,Home Appliance,,"2MP primary camera2.8-inch QVGA TFT touchscreen with 320 x 240 pixels resolution and 262Kcolor displayGoogle Android 2.3 Gingerbread operating system with 650MHz processor, memory expandable up to 32GB and dual SIM1300mAH battery providing talk-time of 11 hours on 2G and 6 hours 30 minutes on 3G networks and standby time of 300 hours on both 2G and 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID007
Alcatel One Touch OT903D (Fuchsia),,,Home Appliance,,"2MP primary camera2.8-inch QVGA TFT touchscreen with 320 x 240 pixels resolution and 262Kcolor displayGoogle Android 2.3 Gingerbread with 650MHz processor operating system, memory expandable up to 32GB and dual SIM1300mAH battery providing talk-time of 11 hours on 2G and 6 hours 30 minutes on 3G networks and standby time of 300 hours on both 2G and 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID001
Alcatel One Touch OT903D (White),,,Home Appliance,,"2MP primary camera2.8-inch QVGA TFT touchscreen with 320 x 240 pixels resolution and 262Kcolor displayGoogle Android 2.3 Gingerbread with 650MHz processor operating system, memory expandable up to 32GB and dual SIM1300mAH battery providing talk-time of 11 hours on 2G and 6 hours 30 minutes on 3G networks and standby time of 300 hours on both 2G and 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID002
Alcatel One Touch OT916D (Raven),,,Home Appliance,,"3.2MP primary camera with LED flash2.6-inch TFT capacitative touchscreen with 240x320 pixels resolution, 262K color display and QWERTY keypadGoogle Android 2.3 Gingerbread operating systemwith 600MHz processor, memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 8 hours  on 2G network and standby time of 650 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID003
Alcatel One Touch OT916D (Silver),,,Home Appliance,,"3.2MP primary camera with LED flash2.6-inch TFT capacitative touchscreen with 240x320 pixels resolution, 262K color display and QWERTY keypadGoogle Android 2.3 Gingerbread operating system with 600MHz processor, memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 8 hours network and standby time of 650 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID004
Alcatel One Touch OT927D (Purple),,,Home Appliance,,2MP primary camera with digital zoom and 0.3MP front facing camera3.2-inch TFT capacitative touchscreen with 400x240 pixels resolution and 262K color displayMemory expandable up to 16GB and dual SIMSupports 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID005
Alcatel One Touch OT927D (Silver),,,Home Appliance,,2MP primary camera with digital zoom and 0.3MP front facing camera3.2-inch TFT capacitative touchscreen with 400x240 pixels resolution and 262K color displayMemory expandable up to 16GB and dual SIMSupports 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID007
Alcatel One Touch OT927D (White),,,Home Appliance,,2MP primary camera with digital zoom and 0.3MP front facing camera3.2-inch TFT capacitative touchscreen with 400x240 pixels resolution and 262K color displayMemory expandable up to 16GB and dual SIMSupports 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID025
Alcatel One Touch OT985N (Raven),,,Home Appliance,,"3.2MP primary camera with LED flash3.5-inch TFT touchscreen with 320x400 pixels resolution and 262K color displayGoogle Android 2.3 Gingerbread operating system with 650MHz processor, memory expandable up to 32GB and dual SIM1300mAH battery providing talk-time of of 11 hours on 2G and 6 hours 30 minutes on 3G networks and standby time of 640 hours on 2G and 420 hours on 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID026
Alcatel One Touch OT985N (White),,,Home Appliance,,"3.2MP primary camera with LED flash3.5-inch TFT touchscreen with 320x400 pixels resolution and 262K color displayGoogle Android 2.3 Gingerbread operating system with 650MHz processor, memory expandable up to 32GB and dual SIM with1300mAH battery providing talk-time of of 11 hours on 2G and 6 hours 30 minutes on 3G networks and standby time of 640 hours on 2G and 420 hours on 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID025
Alcatel One Touch OT991D (Black),,,Home Appliance,,"3.2MP primary camera with LED flash4-inch TFT capacitative touchscreen with 320x400 pixels resolution and 262K color displayGoogle Android 2.3 Gingerbread operating system with 800MHz processor, memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 12 hours on 2G and 12 hours on 3G networks and standby time of 400 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID026
Alcatel One Touch OT991D (Raven),,,Home Appliance,,"3.2MP primary camera with LED flash4-inch TFT capacitative touchscreen with 320x400 pixels resolution and 262K color displayGoogle Android 2.3 Gingerbread operating system with 800MHz processor, memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 12 hours on 2G and 12 hours on 3G networks and standby time of 400 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID005
Alcatel One Touch OT991D (White),,,Home Appliance,,"3.2MP primary camera with LED flash4-inch TFT capacitative touchscreen with 320x400 pixels resolution and 262K color displayGoogle Android 2.3 Gingerbread operating system with 800MHz processor, memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 12 hours on 2G and 12 hours on 3G networks and standby time of 400 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID006
Alcatel One Touch OT997D (Ardesia),,,Home Appliance,,"8MP primary camera with digital zoom, LED flash and 0.3MP front facing camera4.3-inch TFT touchscreen with 800x420 pixels resolution, 16 million color displayGoogle Android 4.0 Ice Cream Sandwich operating system with memory expandable up to 32GB and dual SIM1800mAH battery providing talk-time of 16 hours on 2G and 8.5 hours on 3G networks and standby time of 430 hours for 2G and 350 hours for 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID007
Alcatel One Touch OT997D (White),,,Home Appliance,,"8MP primary camera with digital zoom, LED flash and 0.3MP front facing camera4.3-inch TFT touchscreen with 800x420 pixels resolution and 16 million color displayGoogle Android 4.0 Ice Cream Sandwich operating system with memory expandable up to 32GB and dual SIM1800mAH battery providing talk-time of 16 hours on 2G and 8.5 hours on 3G networks and standby time of 430 hours for 2G and 350 hours for 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID001
Alcatel One Touch Scribe 5 OT8000D (Silver),,,Home Appliance,,"5MP primary camera with video recording and 0.3MP front facing camera5-inch WVGA touchscreen with 480 x 800 pixels resolution and 16M color supportAndroid v4.1.2 Jelly Bean operating system with 1.2GHz dual core Qualcomm Scorpion processor, 512MB RAM, 4GB internal memory expandable up to 32GB and dual SIM2500mAH battery providing talk-time of 10 hours on 2G and 9 hours on 3G and standby time of 600 hours on 2G and 594 hours on 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries from the date of purchase",BIZID002
Alcatel One Touch T20 (Black),,,Home Appliance,,"VGA primary camera with 0.3MP secondary camera7.0-inch capacitive touchscreen with 1024 x 600 pixels resolution, 16 million color display with aspect ratio of 16:9Google Android 4.0.3 Ice-cream sandwich operating system with 1 GHz Rockchip RK2918, ARM Cortex A8 1 GHz processor with memory expandable upto 32 GB2900 mAh battery providing standby upto 140 hours1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries from the date of purchase",BIZID007
Alcatel OT 4010E (Black),,,Home Appliance,,"2MP primary camera with video recording3.5-inch HVGA capacitive touchscreen with 320x480 pixels resolutionAndroid v2.3 Gingerbread operating system with 1GHz processor, memory expandable up to 32GB and dual SIM1000mAH battery1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID025
Alcatel OT 5020E (Black),,,Home Appliance,,"5MP primary camera with LED flash and VGA front facing camera4-inch WVGA capacitive touchscreen 800x480 pixels resolutionAndroid v4.0 Ice Cream Sandwich operating system with 1GHz dual core processor speed, 512MB RAM, 1.4GB internal memory expandable up to 32GB and dual SIM1500mAH battery providing talk-time of 13 hours on 2G and 13 hours on 3G networks and standby time of 400 hours on 2G and 410 hours on 3G networks1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase",BIZID026
Alcatel OT 632D (Black),,,Home Appliance,,0.3MP primary camera with video recording2.4-inch QVGA TFT display with 320x240 pixels resolution and 65K color supportMemory expandable up to 4GB and dual SIM850mAH battery providing talk-time of 4 hours on 2G network and standby time of 300 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID025
Alcatel OT 710 D (White),,,Home Appliance,,2MP primary camera with video recording2.83-inch QVGA TFT display with 320x240 pixels resolution and 262K color supportMemory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 16 hours on 2G network and standby time of 831 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID026
Alcatel OT 810D (Light Crome),,,Home Appliance,,2MP primary camera with video recording2.4-inch QVGA TFT display with 320x240 pixels resolution and 252K color supportMemory expandable up to 8GB and dual SIM850mAH battery providing talk-time of 10 hours on 2G and standby time of 600 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID005
Alcatel OT 813D (Blue),,,Home Appliance,,2MP primary camera with video recording2.4-inch QVGA TFT display with 320x240 pixels resolution and 262K color supportInternal memory of 50MB expandable up to 16GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 720 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID006
Alcatel OT 813D (Red),,,Home Appliance,,2MP primary camera with video recording2.4-inch QVGA TFT display with 320x240 pixels resolution and 262K color supportInternal memory of 50MB expandable up to 16GB and dual SIM1000mAH battery providing talk-time of 10 hours on 2G network and standby time of 720 hours 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID007
Alcatel OT358D (White),,,Home Appliance,,0.3MP primary camera with LED flash2-inch QCIF TFT display with 220x176 pixels resolution and 262K color supportMemory expandable up to 4GB and dual SIM650mAH battery providing talk-time of 6 hours on 2G network and standby time of 450 hours on 2G network1 year manufacturer warranty for device and 6 month manufacturer warranty for in-box accessories including batteries  from the date of purchase,BIZID001
Alcatel Retro Corded Phone with Caller Id Speaker (Copper),,,Home Appliance,,Caller ID retro phone,BIZID002
Alcatel Temporis 35 Corded Phone with Caller Id Speaker (Black),,,Home Appliance,,"Desk caller Id, speaker, back lit displayDual mode DTMF/FSK compatible30 incoming calls with 16 digits memoryAuto filtering of local are code upto 5 digitsSpecial ring for VIP numbersMechanical lock for 0",BIZID003
Alcatel Temporis 55 Corded Landline Phone (Black),,,Home Appliance,,"Corded phone with caller ID support and speaker phoneAA type batteryCaller ID support with 28 Redial Memory and 58 Call LogsThe box includes handset, base, battery, charger and user guide",BIZID004
Alcatel Temporis 55 Corded Landline Phone (White),,,Home Appliance,,"Corded Phone with caller ID support and speaker phoneAA type batteryCaller ID support with 28 Redial Memory and58 Call LogsThe box includes handset, base, battery, charger and user guide",BIZID005
Alcatel Temporis Mini Corded Landline Phone (Blue),,,Home Appliance,,"Corded phoneAA type batteryThe box includes handset, base, battery, charger and user guide",BIZID007
Alcatel Temporis Retro Corded Landline Phone (Black),,,Home Appliance,,"Corded phoneCaller ID support and 70 call logs and 10 number memoriesThe box includes handset, base,battery, charger and user guide",BIZID025
Alcatel Temporis Retro Corded Landline Phone (White),,,Home Appliance,,"Corded phoneCaller ID support and 70 call logs and 10 number memoriesThe box includes handset, base, battery, charger and user guide",BIZID026
Casio Analog Wall Clock (IQ-76-8JF),Casio,,ID,2195.00 indian_rupee,Smooth second hand;Clock Accuracy: ñ20 seconds per month;Battery Type: R6P;Approx. 12 month battery life;Package Contents: 1 Analog Wall Clock;Item Size: 35 cm x 35 cm x 5 cm,BIZID009
Casio Digital Wall Clock (ID-16-2DF),Casio,,ID,2695.00 indian_rupee,Thermometer or Hygrometer;Battery Type: R6P ? 2;Approx. 12 months battery life;Clock Accuracy: ñ60 seconds per month;Package Contents: 1 Digital Wall Clock;Item Size: 195 cm x 290 cm x 24 cm,BIZID010
Casio Digital Wall Clock (ID-11-2DF),Casio,,ID,2295.00 indian_rupee,Thermometer;Battery Type: R6P ? 2;Approx. 12 months battery life;Clock Accuracy: ñ60 seconds per month;Package Contents: 1 Digital Wall Clock;Item Size: 236 cm x 221 cm x 24 cm,BIZID011
Casio Analog - Digital Wall Clock (IC-01-8DF),Casio,,ID,2495.00 indian_rupee,"Full auto-calendar till year 2099;Day and date display;Battery Type: R6P (Analog) ? 1, CR2032 (Digital) ? 1;Case/Bezel Material: Resin;Clock Accuracy: ñ30 seconds per month;Approx. 12 month battery life",BIZID012
Casio Digital Table Clock (DQ-750F-1DF),Casio,,ID,1495.00 indian_rupee,Electro-luminescent back light;Thermometer;Beeper sound alarm;Snooze function;Battery Type: R6P ? 2;Approx. 12 months battery life,BIZID013
Casio Analog Table Clock (TQ-369-7DF),Casio,,ID,795.00 indian_rupee,Microlight;Bell sound alarm;Snooze function;Battery Type: R14P;Approx. 12 months battery life;Clock Accuracy: ñ20 seconds per month,BIZID014
Casio Analog Table Clock (TQ-358-1DF),Casio,,ID,695.00 indian_rupee,Bell sound alarm;Snooze function;Battery Type: R14P;Approx. 12 months battery life;Clock Accuracy: ñ20 seconds per month;Package Contents: 1 Analog Table Clock,BIZID015
Casio Analog Table Clock (TQ-362-4ADF) vince,Casio,,ID,995.00 indian_rupee,Microlight;Bell sound alarm;Snooze function;Battery Type: R14P;Approx. 12 months battery life;Clock Accuracy: ñ20 seconds per month,BIZID016
Casio Analog Table Clock (TQ-148-1DF),Casio,,ID,345.00 indian_rupee,Beeper sound alarm;Battery Type: R6P;Approx. 12 months battery life;Clock Accuracy: ñ20 seconds per month;Package Contents: 1 Analog Table Clock;Item Size: 61 cm x 61 cm x 32 cm,BIZID022
Casio Analog Table Clock (TQ-140-1BDF),Casio,,ID,295.00 indian_rupee,Beeper sound alarm;Battery Type: R6P;Approx. 12 months battery life;Clock Accuracy: ñ20 seconds per month;Package Contents: 1 Analog Table Clock;Item Size: 57 cm x 57 cm x 33 cm,BIZID023
"Ajanta Musical and Pendulum Clock (Black, 3127)",Ajanta,,ID,1699.00 indian_rupee,Color: Black;Item Size: 42.8 cm x 30 cm x 5.7 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Mirror glass,BIZID024
"Ajanta Premium Clock (Silver, 2167 SS)",Ajanta,,ID,2800.00 indian_rupee,Color: Silver;Shape: Round;Item Size: 51 cm x 5.5 cm;Battery required: Yes;Real sweep second (RSS);Office clock,BIZID008
"Ajanta Musical Pendulum Clock (Yellow, 2627)",Ajanta,,ID,1725.00 indian_rupee,Color: Yellow;Item Size: 50 cm x 29.5 cm x 9 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Rotating pendulum,BIZID009
"Ajanta Office Sweep Second Clock (Black, 577 SS)",Ajanta,,ID,899.00 indian_rupee,Color: Black;Shape: Square;Item Size: 46.2 cm x 40.4 cm x 4.7 cm;Battery required: Yes;Office clock;Real sweep second (RSS),BIZID010
"Ajanta Premium Clock (White, 2827)",Ajanta,,ID,2500.00 indian_rupee,Color: White;Shape: Round;Item Size: 41 cm x 9.5 cm;Battery required: Yes;Bell or melody;Doom glass,BIZID011
"Ajanta Fancy Sweep Second Clock (Silver, 1867 (LX) SS)",Ajanta,,ID,645.00 indian_rupee,Color: Silver;Item Size: 33.5 cm x 5.5 cm;Battery required: Yes;Real sweep second (RSS);Doom glass;Aluminium finish,BIZID012
"Ajanta Premium Clock (Yellow, 2827)",Ajanta,,ID,2500.00 indian_rupee,Color: Yellow;Shape: Round;Item Size: 41 cm x 9.5 cm;Battery required: Yes;Bell or melody;Doom glass,BIZID013
"Ajanta Premium Clock (Black, 2167 SS)",Ajanta,,ID,2800.00 indian_rupee,Color: Black;Shape: Round;Item Size: 51 cm x 5.5 cm;Battery required: Yes;Real sweep second (RSS);Office clock,BIZID014
"Ajanta Premium Clock (Black, D.S. -047)",Ajanta,,ID,4800.00 indian_rupee,Color: Black;Shape: Round;Item Size: 60 cm x 4 cm;Battery required: Yes;Diamond stones;Mirror glass,BIZID015
"Ajanta Musical and Pendulum Clock (Gold, 8527)",Ajanta,,ID,880.00 indian_rupee,Color: Gold;Item Size: 43.9 cm x 24 cm x 7.2 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Doom glass,BIZID016
Ajanta Wooden Pendulum and Glass Clock (7677 SS),Ajanta,,ID,2199.00 indian_rupee,Item Size: 59.7 cm x 24.2 cm x 9 cm;Battery required: Yes;Real sweep second (RSS);Aluminium finish;Doom glass;Woody process,BIZID022
"Ajanta Musical and Pendulum Clock (Red, 4227)",Ajanta,,ID,799.00 indian_rupee,Color: Red;Item Size: 48 cm x 27.5 cm x 7.5 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Rotating pendulum,BIZID009
"Ajanta Musical and Pendulum Clock (Gold, 4227)",Ajanta,,ID,799.00 indian_rupee,Color: Gold;Item Size: 48 cm x 27.5 cm x 7.5 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Rotating pendulum,BIZID010
"Ajanta Musical and Pendulum Clock (White, 8527)",Ajanta,,ID,880.00 indian_rupee,Color: White;Item Size: 43.9 cm x 24 cm x 7.2 cm;Battery required: Yes;Bell or melody;Swinging pendulum;Doom glass,BIZID011
Casio Analog Wall Clock (IQ-58-7JF),Casio,,ID,895.00 indian_rupee,Standard Quality;Clock Accuracy: ñ20 seconds per month;Battery Type: R6P;Approx. 12 month battery life;Package Contents: 1 Analog Wall Clock;Item Size: 25.4 cm x 25.4 cm x 4 cm,BIZID012
