Word,Keyword,CategoryL1
beeswax,Generic,ID
flameless,Generic,ID
floating,Generic,ID
fragrance,Generic,ID
jar,Generic,ID
multiple,Generic,ID
nonstandard,Generic,ID
pillars,Generic,ID
scented,Generic,ID
single,Generic,ID
birthday,Generic,ID
devotional,Generic,ID
hanukkah,Generic,ID
novelty,Generic,ID
seasonal,Generic,ID
taper,Generic,ID
unity,Generic,ID
votive,Generic,ID
salt,Generic,ID
clocks,Generic,ID
alarm,Generic,ID
electronic,Generic,ID
mechanical,Generic,ID
desk,Generic,ID
floor,Generic,ID
mantel,Generic,ID
cuckoo,Generic,ID
projection,Generic,ID
shower,Generic,ID
sundial,Generic,ID
weather,Generic,ID
wall,Generic,ID
throw,Generic,ID
doormats,Generic,ID
door,Generic,ID
fireplaces,Generic,ID
electric,Generic,ID
fireplace,Generic,ID
andirons,Generic,ID
chimney,Generic,ID
fire,Generic,ID
camping,Generic,ID
hearth,Generic,ID
log,Generic,ID
safety,Generic,ID
gas,Generic,ID
gel,Generic,ID
portable,Generic,ID
smokeless,Generic,ID
ventless,Generic,ID
coasters,Generic,ID
collectible,Generic,ID
commemorative,Generic,ID
corner,Generic,ID
jewelry,Generic,ID
perfume,Generic,ID
display,Generic,ID
mobiles,Generic,ID
musical,Generic,ID
sculptures,Specific,ID
bust,Specific,ID
head,Generic,ID
statues,Specific,ID
snow,Generic,ID
tassels,Generic,ID
free,Generic,ID
wooden,Generic,ID
wreaths,Generic,ID
fragrant,Generic,ID
incense,Generic,ID
light,Generic,ID
potpourris,Specific,ID
sachets,Generic,ID
aroma,Generic,ID
indoor,Generic,ID
fountain,Generic,ID
stonessea,Generic,ID
mister,Generic,ID
tabletop,Generic,ID
childrens,Generic,ID
lampshades,Generic,ID
mirrors,Generic,ID
bathroom,Generic,ID
countertop,Generic,ID
lighted,Generic,ID
handheld,Generic,ID
vanity,Generic,ID
nursery,Generic,ID
baby,Generic,ID
bronzed,Generic,ID
silver,Generic,ID
lamp,Generic,ID
photo,Generic,ID
acid,Generic,ID
bookshelf,Generic,ID
magnetic,Generic,ID
three,Generic,ID
wedding,Generic,ID
frames,Specific,ID
clip,Generic,ID
collage,Generic,ID
document,Generic,ID
picture,Generic,ID
poster,Specific,ID
frame,Specific,ID
key,Generic,ID
luxury,Generic,ID
panoramic,Generic,ID
shadow,Generic,ID
slipcovers,Generic,ID
armchair,Generic,ID
chair,Generic,ID
dining,Generic,ID
futon,Generic,ID
loveseat,Generic,ID
slipcover,Generic,ID
sofa,Generic,ID
stool,Generic,ID
table,Generic,ID
tapestries,Generic,ID
vase,Specific,ID
vases,Specific,ID
barometers,Generic,ID
hygrometers,Generic,ID
window,Generic,ID
cafe,Generic,ID
stained,Generic,ID
food,Generic,ID
pastry,Generic,ID
